date,volume_all,hist_vol,vix,log_volume,log_hist_vol,log_vix
2006-06-27,4185805749.0,16.83305533015321,16.4,22.154965054972312,2.8233445324364266,2.797281334830153
2006-06-28,3838102848.0,16.220289262772084,15.79,22.068244031463134,2.7862628822379945,2.7593768282675506
2006-06-29,5004668633.0,17.989857914058113,13.03,22.333637040328995,2.8898081498800074,2.567254391136754
2006-06-30,6823361661.0,17.40741411766835,13.08,22.64361809953057,2.8568962141827763,2.5710843460290524
2006-07-03,1902214977.0,17.624833012315303,13.05,21.36628482149644,2.8693088741748847,2.5687881337687024
2006-07-04,2869970505.5,17.103538633710706,13.600000000000001,21.777567589835865,2.8392853797438744,2.6100697927420065
2006-07-05,3837726034.0,16.582244255106104,14.15,22.068145849493188,2.808332499720994,2.649714624089247
2006-07-06,3782709314.0,16.53773658588138,13.65,22.053706339570937,2.805644835363317,2.613739521630969
2006-07-07,3897671755.0,16.591497787722464,13.97,22.083645225917543,2.808890382690266,2.6369121732688705
2006-07-10,3544062749.0,16.58217494878158,14.02,21.988539575232277,2.808328320161925,2.640484881606444
2006-07-11,4438444197.0,16.569320639302006,13.14,22.21356974590291,2.807552831159348,2.5756610130564646
2006-07-12,4105031542.0,16.153030084166854,14.49,22.135479263621527,2.78210765338063,2.673458756332591
2006-07-13,4748653292.0,16.275606841405313,17.79,22.2811268973206,2.789667474121793,2.8786365016777435
2006-07-14,4367885648.0,16.342312363677284,18.05,22.197544895559147,2.793757594944405,2.89314568477889
2006-07-17,3778796735.0,13.996559055710778,18.64,22.05267147182797,2.6388115176710336,2.925309809257445
2006-07-18,4626354404.0,13.95602455887777,17.74,22.25503500914844,2.6359112830591336,2.8758219768814333
2006-07-19,5211747843.0,15.163111767707823,15.55,22.374181114954236,2.7188656208730726,2.744060638625243
2006-07-20,4656528142.0,15.71254498532938,16.21,22.2615359735027,2.7544594369403903,2.785628335747585
2006-07-21,5150544786.0,15.458837557073926,17.4,22.362368329716677,2.738180849974896,2.856470206220483
2006-07-24,4367079577.0,16.607242805715806,14.98,22.19736033363325,2.8098389138027358,2.7067159780890733
2006-07-25,4608605066.0,16.788618731986244,14.85,22.251191059445592,2.8207012004025245,2.6979998652487085
2006-07-26,4884241655.0,16.70035652649366,14.62,22.309279870881557,2.815430068086661,2.6823904543216326
2006-07-27,4952190890.0,16.43743679945263,14.94,22.323095919647137,2.7995614650303713,2.7040421797046714
2006-07-28,4395452298.0,16.930177458254818,14.33,22.203836274733874,2.82909767797167,2.6623552418400807
2006-07-31,4066228096.0,14.827790195035789,14.95,22.125981648955893,2.696503135946126,2.7047112998366956
2006-08-01,4266327151.0,14.932660067248548,15.05,22.17401914205332,2.7035507649540174,2.711377991194885
2006-08-02,4540474060.0,14.854516637171317,14.34,22.236297262050638,2.698303969655543,2.663052835171474
2006-08-03,4708681199.0,14.578806656101843,14.46,22.272673705555047,2.6795688752267925,2.671386216730619
2006-08-04,4508266966.0,14.5660929283044,14.34,22.22917865186737,2.6786964255848194,2.663052835171474
2006-08-07,3578095464.0,14.355372368002142,15.23,21.99809650250429,2.6641242531879783,2.7232671669070703
2006-08-08,4404114198.0,14.425422617864594,15.23,22.205804985988365,2.668992109563929,2.7232671669070703
2006-08-09,4800800396.0,14.4118840690591,15.2,22.292048490125826,2.668053148797089,2.7212954278522306
2006-08-10,4191591991.0,13.95370836688224,14.46,22.15634644883702,2.6357453056915245,2.671386216730619
2006-08-11,3488841732.0,13.067982660227226,14.3,21.97283563612732,2.5701651668499137,2.6602595372658615
2006-08-14,3673643088.0,12.881042394775337,14.26,22.02444967367476,2.555756648672826,2.65745841498615
