date,exchange,sh_volume
2001-08-21,NASDAQ,1377277097.0
2001-08-22,NASDAQ,1623085845.0
2001-08-23,NASDAQ,1479188532.0
2001-08-24,NASDAQ,1560381706.0
2001-08-27,NASDAQ,1267117667.0
2001-08-28,NASDAQ,1519249873.0
2001-08-29,NASDAQ,1446370230.0
2001-08-30,NASDAQ,1780367142.0
2001-08-31,NASDAQ,1289391254.0
2001-09-04,NASDAQ,1600318780.0
2001-09-05,NASDAQ,2065899964.0
2001-09-06,NASDAQ,1958019168.0
2001-09-07,NASDAQ,1854897576.0
2001-09-10,NASDAQ,1688203142.0
2001-09-17,NASDAQ,2434779055.0
2001-09-18,NASDAQ,1946405111.0
2001-09-19,NASDAQ,2644028070.0
2001-09-20,NASDAQ,2236809658.0
2001-09-21,NASDAQ,2776716661.0
2001-09-24,NASDAQ,2175775612.0
2001-09-25,NASDAQ,2305878028.0
2001-09-26,NASDAQ,1863309778.0
2001-09-27,NASDAQ,2162396772.0
2001-09-28,NASDAQ,2256984547.0
2001-10-01,NASDAQ,1585136779.0
2001-10-02,NASDAQ,1860904208.0
2001-10-03,NASDAQ,2813016145.0
2001-10-04,NASDAQ,2638633566.0
2001-10-05,NASDAQ,1879435477.0
2001-10-08,NASDAQ,1466131906.0
2001-10-09,NASDAQ,1549939718.0
2001-10-10,NASDAQ,1893001642.0
2001-10-11,NASDAQ,2635672554.0
2001-10-12,NASDAQ,2203494352.0
2001-10-15,NASDAQ,1639219387.0
2001-10-16,NASDAQ,1906122797.0
2001-10-17,NASDAQ,2399586745.0
2001-10-18,NASDAQ,1886174170.0
2001-10-19,NASDAQ,1649232738.0
2001-10-22,NASDAQ,1563460703.0
2001-10-23,NASDAQ,1953306526.0
2001-10-24,NASDAQ,1949970804.0
2001-10-25,NASDAQ,2309647605.0
2001-10-26,NASDAQ,2064601646.0
2001-10-29,NASDAQ,1736700062.0
2001-10-30,NASDAQ,1837876590.0
2001-10-31,NASDAQ,1985523951.0
2001-11-01,NASDAQ,1888001674.0
2001-11-02,NASDAQ,1684368031.0
2001-11-05,NASDAQ,1767448374.0
2001-11-06,NASDAQ,2024388548.0
2001-11-07,NASDAQ,2130158230.0
2001-11-08,NASDAQ,2391829876.0
2001-11-09,NASDAQ,1587926378.0
2001-11-12,NASDAQ,1673119871.0
2001-11-13,NASDAQ,2201745129.0
2001-11-14,NASDAQ,2216105027.0
2001-11-15,NASDAQ,2112246752.0
2001-11-16,NASDAQ,1797597208.0
2001-11-19,NASDAQ,2036803261.0
2001-11-20,NASDAQ,2078181400.0
2001-11-21,NASDAQ,1654783975.0
2001-11-23,NASDAQ,605823311.0
2001-11-26,NASDAQ,1812627270.0
2001-11-27,NASDAQ,2204273596.0
2001-11-28,NASDAQ,1979314657.0
2001-11-29,NASDAQ,2034820487.0
2001-11-30,NASDAQ,1883811036.0
2001-12-03,NASDAQ,1562466990.0
2001-12-04,NASDAQ,1986676685.0
2001-12-05,NASDAQ,2830817532.0
2001-12-06,NASDAQ,2276602646.0
2001-12-07,NASDAQ,2051909170.0
2001-12-10,NASDAQ,1763895895.0
2001-12-11,NASDAQ,2019892995.0
2001-12-12,NASDAQ,1965896921.0
2001-12-13,NASDAQ,2107399191.0
2001-12-14,NASDAQ,1905682230.0
2001-12-17,NASDAQ,1900588242.0
2001-12-18,NASDAQ,1899987688.0
2001-12-19,NASDAQ,1967953242.0
2001-12-20,NASDAQ,2096808452.0
2001-12-21,NASDAQ,2497869101.0
2001-12-24,NASDAQ,575266410.0
2001-12-26,NASDAQ,1167522588.0
2001-12-27,NASDAQ,1270800135.0
2001-12-28,NASDAQ,1441625760.0
2001-12-31,NASDAQ,1468999724.0
2002-01-02,NASDAQ,1579547385.0
2002-01-03,NASDAQ,2286267492.0
2002-01-04,NASDAQ,2325222852.0
2002-01-07,NASDAQ,2285494867.0
2002-01-08,NASDAQ,1928803514.0
2002-01-09,NASDAQ,2358583236.0
2002-01-10,NASDAQ,1841025615.0
2002-01-11,NASDAQ,1672577560.0
2002-01-14,NASDAQ,1888757350.0
2002-01-15,NASDAQ,1758640141.0
2002-01-16,NASDAQ,2049245632.0
2002-01-17,NASDAQ,1990670266.0
2002-01-18,NASDAQ,1803493199.0
2002-01-22,NASDAQ,1908886192.0
2002-01-23,NASDAQ,1962546933.0
2002-01-24,NASDAQ,2008259569.0
2002-01-25,NASDAQ,1738167957.0
2002-01-28,NASDAQ,1586278102.0
2002-01-29,NASDAQ,2068026924.0
2002-01-30,NASDAQ,2245209087.0
2002-01-31,NASDAQ,1888824654.0
2002-02-01,NASDAQ,1727458346.0
2002-02-04,NASDAQ,1845696405.0
2002-02-05,NASDAQ,2172283423.0
2002-02-06,NASDAQ,2207122888.0
2002-02-07,NASDAQ,2120027703.0
2002-02-08,NASDAQ,1895884155.0
2002-02-11,NASDAQ,1601574617.0
2002-02-12,NASDAQ,1666855928.0
2002-02-13,NASDAQ,1691380580.0
2002-02-14,NASDAQ,1742098538.0
2002-02-15,NASDAQ,1703496720.0
2002-02-19,NASDAQ,1792900399.0
