date,total_sh_volume,total_dollar_volume,vix_close,target_5d,target_21d
2017-10-24,5143161896.0,219295791788.65503,11.16,1277035049347.6987,4830920643055.11
2017-10-25,5883470074.0,248644037732.38516,11.23,1274259491803.6987,4672365256101.588
2017-10-26,5861461012.0,253183171911.36664,11.3,1285574274121.1174,4618448443463.653
2017-10-27,6184629814.0,294578294601.8202,9.8,1224914253221.9482,4555699381449.203
2017-10-30,5531659384.0,238414850561.23743,10.5,1212379284719.1108,4626642355400.036
2017-10-31,5670075579.0,242214694540.8893,10.18,1198997304595.6729,4725363488735.028
2017-11-01,5753501830.0,245868480188.3852,10.2,1181442453345.2632,4757232441762.539
2017-11-02,6192747881.0,264497954228.78537,9.93,1156167745927.4905,4798386083516.559
2017-11-03,5531412066.0,233918273702.65085,9.14,1134860900509.2673,4815779389229.854
2017-11-06,5497798711.0,225879882058.4,9.4,1114661155221.3179,4809076054324.944
2017-11-07,5776519711.0,228832714417.45132,9.89,1100795660642.3916,4802935242629.099
2017-11-08,5837783661.0,228313628937.9756,9.78,1090540818136.6509,4786343834693.95
2017-11-09,5899531713.0,239223246811.0126,10.5,1074014549130.1094,4756531304067.36
2017-11-10,5317420723.0,212611428284.42792,11.29,1081467843681.6919,4767082508013.264
2017-11-13,5250017206.0,205680136770.45044,11.5,1076304212082.8392,4792490913371.433
2017-11-14,5441190736.0,214967219838.5251,11.59,1077520123200.8953,4807203204655.159
2017-11-15,5333245458.0,218058786432.2348,13.13,1036033842037.1128,4997352973159.538
2017-11-16,5201964187.0,222696977804.47116,11.76,903425515011.5046,5018331407353.602
2017-11-17,5149539932.0,220064722836.01044,11.43,882627151448.9253,5027652395962.934
2017-11-20,4705472774.0,200516505171.59775,10.65,913939878864.6982,5045901796592.542
2017-11-21,5088154924.0,216183130956.5812,9.73,1007114572420.1877,5039603940780.134
2017-11-22,4239803209.0,176572505268.45224,9.88,1171477895027.6167,5025394543399.627
2017-11-24,2181156628.0,90088650778.86298,9.67,1359126677464.6497,5067473380306.617
2017-11-27,4713839233.0,199266359273.4312,9.87,1465511914174.0234,5016406615493.988
2017-11-28,5370810473.0,231829232587.37064,10.03,1484994261002.598,4924506789861.994
2017-11-29,6423760061.0,309357824512.0707,10.7,1394812983644.0183,4775425232162.548
2017-11-30,7222719143.0,340935827875.8811,11.28,1276569058489.7437,4668053387561.223
2017-12-01,6075299055.0,277737433215.896,11.43,1210553846276.6746,4635587478473.841
2017-12-04,6352113809.0,305651595982.8052,11.68,1114312966478.291,4570870522396.081
2017-12-05,5551830272.0,251311579415.945,11.33,1086164019292.6792,4547935219462.253
2017-12-06,5035806492.0,219176547153.4909,11.02,1098076014267.8079,4561767030058.191
2017-12-07,5100139497.0,222691902721.6065,10.16,1105063622668.4534,4574849551865.634
2017-12-08,4809235189.0,211722221002.82687,9.58,1301549956602.2397,4599284611006.939
2017-12-11,4855156332.0,209410716184.4216,9.34,1335814652416.351,4619905211074.931
2017-12-12,5317942827.0,223162632230.33325,9.92,1342037731631.362,4650593220678.526
2017-12-13,5370371672.0,231088542128.61957,10.18,1329715095303.9487,4726313385595.664
2017-12-14,5309433959.0,229679511122.2519,10.49,1309920859325.869,4765370509466.599
2017-12-15,9139053559.0,408208554936.6133,9.42,1064075412277.2009,4610827788412.489
2017-12-18,5803748416.0,243675411998.5332,9.53,952567487964.5208,4637279376833.845
2017-12-19,5405296112.0,229385711445.344,10.03,871381370979.9792,4670702430075.533
2017-12-20,5019068514.0,218765905801.2063,9.72,792544872134.1492,4722786985428.066
2017-12-21,4995101831.0,209885275144.1721,9.62,742935863802.6024,4814672392520.135
2017-12-22,3854301996.0,162363107887.94534,9.9,814136739189.2117,4926046353888.223
2017-12-26,3235363125.0,132167487685.853,10.25,927240775631.8735,5071110503981.513
2017-12-27,3565593889.0,148199594460.80243,10.47,1019975821076.1163,5199465278967.515
2017-12-28,3438625904.0,139929406955.37628,10.18,1108422690602.8564,5356084776201.065
2017-12-29,3945907367.0,160276266812.62537,11.04,1181154781539.6597,5523186115165.3125
2018-01-02,5183911239.0,233563983274.55463,9.77,1183365222794.1543,5607148380775.967
2018-01-03,5630297629.0,245271524128.51483,9.15,1174250978809.7732,5702972715105.934
2018-01-04,5665329203.0,240934639905.04532,9.22,1163347655157.1404,5864791476429.814
2018-01-05,5137603123.0,228376276482.11627,9.22,1188822020508.9521,6092645762453.708
2018-01-08,5239248210.0,233008357749.4288,9.52,1262622369805.2812,6191206517664.098
2018-01-09,5548467958.0,235774424529.04904,10.08,1295584580269.419,6330041325726.314
2018-01-10,5630319248.0,236157280144.13367,9.82,1313093134007.7886,6523384009021.517
2018-01-11,5544289425.0,230031316252.41263,9.88,1353188818175.2646,6595954864648.165
2018-01-12,5446100432.0,253850641833.928,10.16,1362146941028.3691,6580066303824.347
2018-01-16,6599109228.0,306808707045.75793,11.66,1326188695136.3508,6561005014257.078
2018-01-17,5879797730.0,268736634993.18683,11.91,1359222742379.4048,6567833920782.402
2018-01-18,5578747246.0,253665833882.50305,12.22,1379293977752.9353,6580670783422.2705
2018-01-19,5604460058.0,270127000419.88867,11.27,1386398615112.1895,6573214232537.694
2018-01-22,5474896772.0,262808764687.03247,11.03,1400144219871.962,6577344093172.998
2018-01-23,5541288205.0,270850461153.73972,11.1,1425842662907.1492,6552207215042.494
2018-01-24,6183507971.0,301770682236.2409,11.47,1451449586447.78,6479822319132.977
2018-01-25,5786651900.0,273737069256.03348,11.58,1495238766076.955,6455004424090.593
2018-01-26,5402808523.0,277231637779.14294,11.08,1559102986756.2947,6447526058717.096
2018-01-29,5516070756.0,276554369446.80493,13.84,1685302018538.415,6465839841973.717
2018-01-30,6048932042.0,296548904188.927,14.79,1844983676855.4985,6496876263274.19
2018-01-31,6551072030.0,327377605776.8718,13.54,1849175184038.4436,6463446366785.352
2018-02-01,6137376567.0,317526248885.20844,13.47,1906258167744.5024,6417348106188.954
2018-02-02,6675601785.0,341095858458.4824,17.31,1994662272725.3535,6337442115622.425
2018-02-05,8051034512.0,402753401228.9253,37.32,1894511043375.4895,6194084479236.961
2018-02-06,8777824326.0,456230562506.0104,29.98,1676242561879.5894,5982225211870.087
2018-02-07,6814684663.0,331569112959.81714,27.73,1632420866398.2612,5916903839067.131
2018-02-08,7796142911.0,374609232591.2672,33.46,1533377175325.5066,5807455669355.993
2018-02-09,8598952209.0,429499963439.3334,29.06,1370379908408.544,5650886751196.0625
2018-02-12,6162957223.0,302602171879.0612,25.61,1330448186064.7954,5601713839313.173
2018-02-13,5180432535.0,237962081010.1104,24.97,1359424730377.021,5605844676872.682
2018-02-14,6055372916.0,287747417478.48914,19.26,1317390895921.7678,5706298581790.124
2018-02-15,5672364167.0,275565541518.5124,19.13,1271211140729.9788,5709642445410.202
2018-02-16,5519681702.0,266502696522.37076,19.46,1253627618421.258,5690904253342.879
2018-02-20,5438834708.0,262670449535.31268,20.6,1260710441291.5908,5682929387667.538
2018-02-21,5569690485.0,266938625322.3362,20.02,1288639968672.6816,5712216712110.299
2018-02-22,5510014705.0,245713583023.23575,18.72,1370511711138.8467,5764345466224.217
2018-02-23,4964738585.0,229385786326.7234,16.49,1435073634100.1565,5825220856607.959
2018-02-26,5198753046.0,248919174213.64996,15.8,1457582448175.3174,5873509819687.395
2018-02-27,5766153036.0,269753272405.6456,18.59,1449019043661.6252,5921172416545.468
2018-02-28,6438162806.0,294868152703.4268,19.85,1413546655801.6594,5925251274601.276
2018-03-01,6823369941.0,327585325489.4008,22.47,1330332625451.395,5890110524175.937
2018-03-02,6011789842.0,293947709288.03314,19.59,1302632656320.2222,5872004701673.585
2018-03-05,5680321949.0,271427988288.81097,18.73,1296365730911.5408,5878304984825.176
2018-03-06,5406609034.0,261189867891.9534,18.36,1308106908298.9885,5865538429622.708
2018-03-07,5479559008.0,259395764843.46112,17.76,1302140403451.6992,5860730299966.123
2018-03-08,5368375745.0,244371295139.1365,16.54,1299862026882.1826,5842577484406.211
2018-03-09,5519225468.0,266247740156.86017,14.64,1421815609121.2527,5838973353523.624
2018-03-12,5421084146.0,265161062880.12955,15.78,1435563951379.7146,5790649582042.718
2018-03-13,5673365602.0,272931045279.40125,16.35,1410397410555.3608,5736948306638.71
2018-03-14,5405982325.0,253429259996.17188,17.23,1411663734419.1611,5697496379645.755
2018-03-15,5435526418.0,242092918569.61963,16.59,1465796765614.6382,5669153550419.5205
2018-03-16,8413563748.0,388201322395.9304,15.8,1375437780355.8608,5533575103703.817
2018-03-19,5527602721.0,278909405138.5916,19.02,1386789551927.7354,5493094541981.758
2018-03-20,5132088214.0,247764504455.04745,18.2,1436233184765.774,5499668459599.91
2018-03-21,5294044097.0,254695583859.9721,17.86,1498953470169.5205,5503829365296.518
2018-03-22,5963318695.0,296225949765.09674,23.34,1501674531163.6587,5430663340210.084
2018-03-23,6036236832.0,297842337137.1531,24.87,1496276769090.5676,5427339949329.512
2018-03-26,5745320550.0,290261176710.46606,21.03,1481857479165.7834,5405940177669.196
2018-03-27,5986755293.0,297208137293.08594,22.5,1462377613313.0984,5395193831111.163
2018-03-28,6281238810.0,317415869263.71875,22.87,1393385056738.8662,5340070166571.905
2018-03-29,6052408058.0,298947010759.235,19.97,1349025681166.5068,5307863015009.087
2018-04-02,5880429955.0,292444575064.06177,23.62,1282799585681.67,5270531797936.85
2018-04-03,5580255917.0,275841886785.6819,21.1,1269601308170.262,5274237882391.779
2018-04-04,5484786250.0,277728271440.4011,20.06,1208710328129.0833,5286800682502.313
2018-04-05,5246909269.0,248423312689.4863,18.94,1179516785314.9902,5293086787302.5
2018-04-06,5534539125.0,254587635186.87573,21.49,1138906483131.3318,5280354152939.777
2018-04-09,5059699573.0,226218479579.2249,21.77,1126438092895.4927,5307311524301.306
2018-04-10,5686790375.0,262643609274.27383,20.47,1116417359301.4443,5301502316914.925
2018-04-11,4820392103.0,216837291399.22253,20.24,1138008911318.7544,5322580843390.863
2018-04-12,4944928805.0,219229769875.3933,18.49,1173117563516.561,5321467289238.758
2018-04-13,4633688785.0,213977333003.2172,17.41,1217996720069.9224,5333700166634.151
2018-04-16,4709264407.0,213750089343.38596,16.56,1227306555405.2004,5363976994792.583
2018-04-17,5091698013.0,252622875680.22543,15.25,1269202625981.555,5329841328220.649
2018-04-18,5202654877.0,238428843416.5326,15.6,1299635187615.1726,5316198792142.703
2018-04-19,5261588399.0,254338422073.19983,15.96,1331758556277.0266,5297977107525.672
2018-04-20,5248115424.0,258856489556.5785,16.88,1335194271444.9097,5258823636064.557
2018-04-23,4670482425.0,223059924678.6641,16.34,1378874205962.6626,5256715783746.008
2018-04-24,5713878628.0,294518946256.5799,18.02,1339468617697.9062,5194594038311.648
2018-04-25,5466028824.0,268861405050.15045,17.84,1350155183888.3687,5155829985111.409
2018-04-26,5716656549.0,286461790735.0537,16.24,1353984464704.2495,5074509742753.047
2018-04-27,5172823925.0,262292204724.46136,15.41,1346401677469.461,5076845954889.998
2018-04-30,5638831402.0,266739859196.41727,15.93,1321516819097.1963,5061806853831.169
2018-05-01,5380694401.0,255113357991.8236,15.49,1319579312046.127,5126684736713.396
2018-05-02,6048279807.0,279547971240.61255,15.97,1296865742693.4072,5103752728214.066
2018-05-03,6051140834.0,290291071550.9348,15.9,1244490489017.6333,5063023020515.232
2018-05-04,5284443019.0,254709417489.6726,14.77,1207897287251.247,5056740361595.29
2018-05-07,5115689654.0,241855000824.1528,14.75,1192252496825.7056,5083017047225.309
2018-05-08,5676526053.0,253175850940.7541,14.71,1183103563386.7686,5101907953695.885
2018-05-09,6010302426.0,256834401887.89288,13.42,1144756370607.168,5076137985166.586
2018-05-10,5478797331.0,237915817875.161,13.23,1131626860070.5935,5067294844374.652
2018-05-11,4837871939.0,218116215723.28632,12.65,1149627381803.4753,5096246383125.303
2018-05-14,4957424051.0,226210210398.6113,12.93,1143120189500.3281,5153021265961.657
2018-05-15,5253768268.0,244026917501.8171,14.63,1120045344358.6277,5178429060269.658
2018-05-16,5239223960.0,218487209108.2921,13.42,1133955336072.5564,5369622554491.471
2018-05-17,5289607519.0,224786307338.5866,13.43,1139266380583.8787,5393508914140.184
2018-05-18,5212160373.0,236116737456.16824,13.42,1108291191504.4033,5446978791890.389
2018-05-21,4939377723.0,219703018095.464,13.08,1153216590270.351,5489776642464.59
2018-05-22,5177647914.0,220952072360.1167,13.22,1183965276047.823,5532617571510.812
2018-05-23,5193172468.0,232397200822.22083,12.58,1271559316099.6526,5683428292432.878
2018-05-24,5159779109.0,230097351849.90887,12.53,1298077926991.0261,5760310407315.877
2018-05-25,4645956353.0,205141548376.69275,13.22,1342497742466.435,5814175259954.311
2018-05-29,5601142795.0,264628416861.41187,17.02,1326296084174.7537,5824665151694.402
2018-05-30,5487947212.0,251700758137.5886,14.94,1342727012491.3357,5831148253166.397
2018-05-31,6641938663.0,319991240874.05054,15.43,1294802529028.6165,5781135155785.356
2018-06-01,5718437949.0,256615962741.2824,13.46,1269250999645.9277,5748168386240.852
2018-06-04,5443948587.0,249561363852.10144,12.74,1248762312877.0542,5639825201418.885
2018-06-05,5413860629.0,248426758569.73053,12.4,1247403308781.2598,5609918523525.151
2018-06-06,5696262854.0,268131686454.1706,11.64,1262256715562.0554,5544193931739.808
2018-06-07,5842523232.0,272066757411.33148,12.13,1259624669960.5413,5496931096996.412
